school_name,city,state,zip,school_url,price_calculator_url,in_state_tuition,out_of_state_tuition,attendance_cost,median_debt,student_size,net_price_public,net_price_private,median_earnings_10yrs,completion_rate,admission_rate,sat_average,first_generation,median_family_income,age_entry,completion_rate_imputed,admission_rate_imputed,sat_average_imputed,first_generation_imputed
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,10024,18634,23167,31000.0,5196,14205,0,40628,0.2738,0.684,920.0,0.3658280922,23553,20,False,False,False,False
University of Alabama at Birmingham,Birmingham,AL,35294-0110,https://www.uab.edu/,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,8832,21216,26257,22300.0,12776,14620,0,54501,0.6353,0.8668,1291.0,0.341223671,34489,23,False,False,False,False
Amridge University,Montgomery,AL,36117-3553,https://www.amridgeuniversity.edu/,https://www2.amridgeuniversity.edu:9091/,0,0,0,32189.0,228,0,0,37621,,,,0.5125,15033,33,True,True,True,False
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu/,finaid.uah.edu/,11878,24770,25777,20705.0,6985,13902,0,61767,0.6192,0.781,1259.0,0.3101321586,44787,22,False,False,False,False
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator,11068,19396,21900,31000.0,3296,13066,0,34502,0.2806,0.966,963.0,0.3434343434,22080,20,False,False,False,False
The University of Alabama,Tuscaloosa,AL,35487-0100,www.ua.edu/,financialaid.ua.edu/net-price-calculator/,11940,32300,31024,22750.0,31360,17942,0,59221,0.725,0.8006,1304.0,0.2257126887,66733,21,False,False,False,False
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu/,https://www.cacc.edu/net-price-calculator/,4990,8740,14041,9766.0,963,7232,0,33506,0.2177,,,0.5496760259,22217,23,False,True,True,False
Athens State University,Athens,AL,35611,www.athens.edu/,www.athens.edu/financial-aid/net-price-calculator/,0,0,0,18051.0,2465,0,0,50273,,,,0.4774964838,29645,30,True,True,True,False
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu/,www.aum.edu/current-students/financial-information/net-price-calculator,9100,19348,19771,25000.0,3307,10873,0,44391,0.3577,0.9223,1051.0,0.38189609,29671,22,False,False,False,False
Auburn University,Auburn,AL,36849,www.auburn.edu/,https://www.auburn.edu/admissions/costcalc/freshman.html,12176,32960,33650,21000.0,25234,17481,0,65337,0.8082,0.4374,1292.0,0.1726471191,72031,20,False,False,False,False
Birmingham-Southern College,Birmingham,AL,35254,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,21250,21250,35495,25000.0,968,0,17530,59481,0.6762,0.5717,1218.0,0.1724941725,68094,19,False,False,False,False
Chattahoochee Valley Community College,Phenix City,AL,36869,https://www.cv.edu/,https://external.cv.edu/npc/index.html,4980,8730,9320,10500.0,1101,1980,0,36438,0.2021,,,0.4302670623,20813,24,False,True,True,False
South University-Montgomery,Montgomery,AL,36116,www.southuniversity.edu/,www.southuniversity.edu/montgomery/net-price-calculator,17014,17014,32195,26123.0,315,0,26145,34421,0.1,,,0.4722883373,20000,30,False,True,True,False
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu/,https://www.escc.edu/netprice/npcalc.htm,4920,8670,9452,7499.0,1359,1838,0,42572,0.2944,,,0.4218916047,20456,23,False,True,True,False
Coastal Alabama Community College,Bay Minette,AL,36507-2698,www.coastalalabama.edu/,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,4920,8670,14446,11000.0,4809,5700,0,34894,0.2384,,,0.4351196495,24150,23,False,True,True,False
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu/,www.faulkner.edu/net-price-calculator/,23920,23920,36169,23000.0,1587,0,20384,43457,0.2595,0.8241,1021.0,0.4300319489,24037,28,False,False,False,False
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu/,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,3984,6984,10613,13500.0,3446,3694,0,32937,0.2612,,,0.5149544863,16623,23,False,True,True,False
New Beginning College of Cosmetology,Albertville,AL,35951,www.nbccosmetology.com/,nbccosmetology.com/wp-content/themes/nbc/nbc_zonemap/,0,0,0,9500.0,45,0,12790,0,0.61,,,0.5,17173,23,False,True,True,False
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu/,www.wallace.edu/npcalc/,4860,8610,8592,13500.0,3069,1328,0,31399,0.2779,,,0.4851537646,15816,23,False,True,True,False
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,https://www.wallacestate.edu/,https://www.wallacestate.edu/financial-aid/net-price-calculator.html,4920,8670,15488,11000.0,4207,10901,0,39842,0.4498,,,0.498813157,27572,23,False,True,True,False
